name,price,info,link,is_available
Индуктивный щелевой датчик Pepperl Fuchs SJ10-N-5M,22 400 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 10",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj10_n_5m/,под заказ
Щелевой датчик IFM Electronic OPU210,48 600 руб.,"Глубина щели, мм:; 55; Соединение:; Разъем M8; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 80",https://sensoren.ru/product/shchelevoy_datchik_ifm_electronic_opu210/,под заказ
Оптический вилочный датчик Autonics BS5-L1M-P,1 660 руб.,"Глубина щели, мм:; 9; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_l1m_p/,под заказ
Щелевой датчик LANBAO PU05M-TGNR-L,1 300 руб.,"Глубина щели, мм:; 8,4; Соединение:; Кабель; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgnr_l/,в наличии
Оптический вилочный датчик Autonics BS5-Y2M-P,1 500 руб.,"Глубина щели, мм:; 9; Соединение:; Разъем; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_y2m_p/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic GSU14E/16T.3-M12,86 742 руб.,"Глубина щели, мм:; 80; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Функция переключения:; NO/NC; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_gsu14e_16t_3_m12/,под заказ
"Индуктивный щелевой датчик Pepperl Fuchs SJ3,5-SN-Y89604",22 000 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 3,5",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj3_5_sn_y89604/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic GSU 14D/66D.3-S12,201 574 руб.,"Глубина щели, мм:; 68,5; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_gsu_14d_66d_3_s12/,под заказ
Щелевой датчик Pepperl Fuchs GL30-LAS/32/40a/98a,98 300 руб.,"Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl30_las_32_40a_98a/,под заказ
DATASENSING SR21-IR щелевой датчик для этикеток,22 100 руб.,,https://sensoren.ru/product/opticheskie_schelevie_datchiki_datalogic-datasensor_sr21_dlya_etiketok/,в наличии
Ультразвуковой датчик этикеток LANBAO LAU-TR05DFB-E3,47 500 руб.,,https://sensoren.ru/product/ultrazvukovoy_datchik_etiketok_lanbao_lau_tr05dfb_e3/,в наличии
Фотоэлектрический датчик этикеток LANBAO LAP-TR03TPB-F3,9 060 руб.,,https://sensoren.ru/product/fotoelektricheskiy_datchik_etiketok_lanbao_lap_tr03tpb_f3/,в наличии
Фотоэлектрический датчик этикеток LANBAO LAP-TR03TNB-F3,9 060 руб.,,https://sensoren.ru/product/fotoelektricheskiy_datchik_etiketok_lanbao_lap_tr03tnb_f3/,в наличии
Оптический вилочный датчик Autonics BS5-T2M-P,,,https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_t2m_p/,под заказ
,,,https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu30_tdpb/,
,,,https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6_2_200_s12/,
